ASM00094578,-27.3917,153.1292,4.0,BRISBANEAERO,1943,2023,92048
ASM00094610,-31.9275,115.9764,20.4,PERTHAIRPORT,1948,2023,98554
ASM00094637,-30.7847,121.4533,366.7,KALGOORLIE-BOULDERAIRPORT,1950,2023,74813
ASM00094638,-33.83,121.8925,25.0,ESPERANCE,1969,2023,58574
ASM00094646,-30.833,128.1,160.0,FORRESTAIRPORT,1950,1995,54264
ASM00094647,-31.6667,128.8667,101.0,EUCLA,1995,2012,12086
ASM00094659,-31.1558,136.8053,167.0,WOOMERAAERODROME,1949,2023,73381
ASM00094672,-34.9525,138.5203,6.1,ADELAIDEAIRPORT,1945,2023,92045
ASM00094711,-31.4839,145.8294,260.0,COBARMO,1962,2023,59714
ASM00094750,-34.9469,150.5353,122.0,NOWRARANAIRSTATIONAWS,1950,2023,37889
ASM00094767,-33.9464,151.1731,6.4,SYDNEYAIRPORTAMO,1946,2023,70561
ASM00094776,-32.7933,151.8358,9.5,WILLIAMTOWNRAAF,1944,2023,75522
ASM00094802,-34.9414,117.8022,71.0,ALBANYAIRPORT,1965,2023,60130
ASM00094821,-37.7472,140.7739,64.6,MOUNTGAMBIERAERO,1945,2023,68427
ASM00094865,-37.867,144.75,16.0,LAVERTONAERODROME,1948,1999,58326
ASM00094866,-37.6656,144.8322,132.3,MELBOURNEAIRPORT,1946,2023,41495
ASM00094910,-35.1583,147.4572,220.7,WAGGAWAGGAAMO,1946,2023,78600
ASM00094970,-42.8833,147.3333,55.0,HOBART,1949,1953,1774
ASM00094975,-42.8339,147.5033,4.0,HOBARTAIRPORT,1953,2023,72873
ASM00094995,-31.5422,159.0786,5.2,LORDHOWEISLANDAERO,1950,2023,69777
ASM00094998,-54.4994,158.937,6.0,MACQUARIEISLAND,1948,2023,68228
ASM00095527,-29.4897,149.8472,213.7,MOREEAERO,1964,2023,53303
ASXUA942005,-19.28,121.5,3.0,TALGARNO,1960,1961,297
ASXUA946505,-30.01,131.583,290.0,MARALINGA,1955,1965,7453
AUM00011010,48.2353,14.1881,298.0,LINZ/HOERSCHING-FLUGHAFEN,1987,2021,10857
AUM00011035,48.2486,16.3564,200.0,WIEN/HOHEWARTE,1910,2021,79646
AUM00011120,47.2603,11.3439,581.0,INNSBRUCK-FLUGHAFEN,1998,2019,7544
AUM00011240,46.9931,15.4392,340.0,GRAZ-THALERHOF-FLUGHAFEN,1987,2019,10700
AYM00088967,-77.9667,-38.8,32.0,GENERALBELGRANO,1970,1975,1782
AYM00089001,-70.317,-2.367,52.0,SANAE,1957,1992,9815
AYM00089002,-70.6667,-8.25,50.0,NEUMAYER,1984,2023,13397
AYM00089009,-90.0,0.0,2835.0,AMUNDSEN-SCOTT,1961,2023,30503
AYM00089022,-75.445,-26.2181,30.0,HALLEY,1957,2023,20669
